area_name,year,sub_group_name,cases_property_recovered,cases_property_stolen
Andaman & Nicobar Islands,2001,3. Burglary,27,64
Andhra Pradesh,2001,3. Burglary,3321,7134
Arunachal Pradesh,2001,3. Burglary,66,248
Assam,2001,3. Burglary,539,2423
Bihar,2001,3. Burglary,367,3231
Chandigarh,2001,3. Burglary,119,364
Chhattisgarh,2001,3. Burglary,1169,4144
Dadra & Nagar Haveli,2001,3. Burglary,10,34
Daman & Diu,2001,3. Burglary,7,43
Delhi,2001,3. Burglary,642,3029
Goa,2001,3. Burglary,65,347
Gujarat,2001,3. Burglary,1124,4928
Haryana,2001,3. Burglary,1257,3098
Himachal Pradesh,2001,3. Burglary,93,812
Jammu & Kashmir,2001,3. Burglary,161,1345
Jharkhand,2001,3. Burglary,186,1150
Karnataka,2001,3. Burglary,1768,6394
Kerala,2001,3. Burglary,815,4185
Lakshadweep,2001,3. Burglary,0,1
Madhya Pradesh,2001,3. Burglary,3526,13549
Maharashtra,2001,3. Burglary,3595,13881
Manipur,2001,3. Burglary,3,75
Meghalaya,2001,3. Burglary,50,170
Mizoram,2001,3. Burglary,188,417
Nagaland,2001,3. Burglary,21,84
Odisha,2001,3. Burglary,1388,3061
Puducherry,2001,3. Burglary,34,111
Punjab,2001,3. Burglary,721,1902
Rajasthan,2001,3. Burglary,1926,6867
Sikkim,2001,3. Burglary,16,71
Tamil Nadu,2001,3. Burglary,3227,5919
Tripura,2001,3. Burglary,42,198
Uttar Pradesh,2001,3. Burglary,1081,6953
Uttarakhand,2001,3. Burglary,78,533
West Bengal,2001,3. Burglary,100,426
Andaman & Nicobar Islands,2002,3. Burglary,13,49
Andhra Pradesh,2002,3. Burglary,3166,7581
Arunachal Pradesh,2002,3. Burglary,66,249
Assam,2002,3. Burglary,484,2504
Bihar,2002,3. Burglary,371,3182
Chandigarh,2002,3. Burglary,83,336
Chhattisgarh,2002,3. Burglary,902,3731
Dadra & Nagar Haveli,2002,3. Burglary,13,38
Daman & Diu,2002,3. Burglary,14,56
Delhi,2002,3. Burglary,843,2360
Goa,2002,3. Burglary,74,359
Gujarat,2002,3. Burglary,1183,5153
Haryana,2002,3. Burglary,1360,3048
Himachal Pradesh,2002,3. Burglary,121,642
Jammu & Kashmir,2002,3. Burglary,167,1321
Jharkhand,2002,3. Burglary,220,1419
Karnataka,2002,3. Burglary,1987,6480
Kerala,2002,3. Burglary,928,4447
Lakshadweep,2002,3. Burglary,2,9
Madhya Pradesh,2002,3. Burglary,4107,13344
Maharashtra,2002,3. Burglary,3634,13273
Manipur,2002,3. Burglary,1,44
Meghalaya,2002,3. Burglary,18,153
Mizoram,2002,3. Burglary,217,446
Nagaland,2002,3. Burglary,34,110
Odisha,2002,3. Burglary,1087,2755
Puducherry,2002,3. Burglary,38,129
Punjab,2002,3. Burglary,770,1928
Rajasthan,2002,3. Burglary,1855,6300
Sikkim,2002,3. Burglary,9,45
Tamil Nadu,2002,3. Burglary,2953,5492
Tripura,2002,3. Burglary,39,192
Uttar Pradesh,2002,3. Burglary,1028,4861
Uttarakhand,2002,3. Burglary,113,496
West Bengal,2002,3. Burglary,128,348
Andaman & Nicobar Islands,2003,3. Burglary,16,56
Andhra Pradesh,2003,3. Burglary,3475,8969
Arunachal Pradesh,2003,3. Burglary,83,253
Assam,2003,3. Burglary,509,2606
Bihar,2003,3. Burglary,305,2986
Chandigarh,2003,3. Burglary,85,204
Chhattisgarh,2003,3. Burglary,968,3621
Dadra & Nagar Haveli,2003,3. Burglary,12,41
Daman & Diu,2003,3. Burglary,5,41
Delhi,2003,3. Burglary,758,1898
Goa,2003,3. Burglary,109,244
Gujarat,2003,3. Burglary,1334,5684
Haryana,2003,3. Burglary,1411,2967
Himachal Pradesh,2003,3. Burglary,105,645
Jammu & Kashmir,2003,3. Burglary,224,1526
Jharkhand,2003,3. Burglary,192,1374
Karnataka,2003,3. Burglary,1530,6049
Kerala,2003,3. Burglary,1053,4164
Lakshadweep,2003,3. Burglary,0,6
Madhya Pradesh,2003,3. Burglary,3589,12641
Maharashtra,2003,3. Burglary,3766,13202
Manipur,2003,3. Burglary,1,68
Meghalaya,2003,3. Burglary,13,160
Mizoram,2003,3. Burglary,268,487
Nagaland,2003,3. Burglary,19,82
Odisha,2003,3. Burglary,1231,2910
Puducherry,2003,3. Burglary,56,126
Punjab,2003,3. Burglary,797,2094
Rajasthan,2003,3. Burglary,1588,5779
Sikkim,2003,3. Burglary,7,48
Tamil Nadu,2003,3. Burglary,2877,4849
Tripura,2003,3. Burglary,19,167
Uttar Pradesh,2003,3. Burglary,752,2928
Uttarakhand,2003,3. Burglary,122,513
West Bengal,2003,3. Burglary,101,342
Andaman & Nicobar Islands,2004,3. Burglary,30,69
Andhra Pradesh,2004,3. Burglary,3451,8041
Arunachal Pradesh,2004,3. Burglary,41,215
Assam,2004,3. Burglary,414,2544
Bihar,2004,3. Burglary,277,3175
Chandigarh,2004,3. Burglary,75,186
Chhattisgarh,2004,3. Burglary,1151,3720
Dadra & Nagar Haveli,2004,3. Burglary,5,20
Daman & Diu,2004,3. Burglary,8,35
Delhi,2004,3. Burglary,772,1875
Goa,2004,3. Burglary,81,245
Gujarat,2004,3. Burglary,1308,5670
Haryana,2004,3. Burglary,1245,2779
Himachal Pradesh,2004,3. Burglary,148,722
Jammu & Kashmir,2004,3. Burglary,235,1420
Jharkhand,2004,3. Burglary,220,1419
Karnataka,2004,3. Burglary,1695,6093
Kerala,2004,3. Burglary,1126,4359
Lakshadweep,2004,3. Burglary,0,2
Madhya Pradesh,2004,3. Burglary,3943,12130
Maharashtra,2004,3. Burglary,3952,13896
Manipur,2004,3. Burglary,6,66
Meghalaya,2004,3. Burglary,19,130
Mizoram,2004,3. Burglary,180,250
Nagaland,2004,3. Burglary,13,52
Odisha,2004,3. Burglary,1127,2990
Puducherry,2004,3. Burglary,48,86
Punjab,2004,3. Burglary,666,1766
Rajasthan,2004,3. Burglary,1588,5619
Sikkim,2004,3. Burglary,12,64
Tamil Nadu,2004,3. Burglary,2679,4147
Tripura,2004,3. Burglary,36,166
Uttar Pradesh,2004,3. Burglary,972,4192
Uttarakhand,2004,3. Burglary,100,516
West Bengal,2004,3. Burglary,129,547
Andaman & Nicobar Islands,2005,3. Burglary,25,68
Andhra Pradesh,2005,3. Burglary,3578,7894
Arunachal Pradesh,2005,3. Burglary,56,263
Assam,2005,3. Burglary,523,2255
Bihar,2005,3. Burglary,311,3117
Chandigarh,2005,3. Burglary,105,223
Chhattisgarh,2005,3. Burglary,1186,3621
Dadra & Nagar Haveli,2005,3. Burglary,9,25
Daman & Diu,2005,3. Burglary,5,37
Delhi,2005,3. Burglary,871,2093
Goa,2005,3. Burglary,71,257
Gujarat,2005,3. Burglary,1188,5140
Haryana,2005,3. Burglary,1527,3425
Himachal Pradesh,2005,3. Burglary,136,691
Jammu & Kashmir,2005,3. Burglary,209,1397
Jharkhand,2005,3. Burglary,259,1600
Karnataka,2005,3. Burglary,1688,5986
Kerala,2005,3. Burglary,939,3914
Lakshadweep,2005,3. Burglary,1,2
Madhya Pradesh,2005,3. Burglary,3607,11192
Maharashtra,2005,3. Burglary,4058,14735
Manipur,2005,3. Burglary,3,62
Meghalaya,2005,3. Burglary,19,137
Mizoram,2005,3. Burglary,289,442
Nagaland,2005,3. Burglary,17,93
Odisha,2005,3. Burglary,1308,3029
Puducherry,2005,3. Burglary,42,67
Punjab,2005,3. Burglary,922,1933
Rajasthan,2005,3. Burglary,1657,5003
Sikkim,2005,3. Burglary,13,79
Tamil Nadu,2005,3. Burglary,2568,3738
Tripura,2005,3. Burglary,31,170
Uttar Pradesh,2005,3. Burglary,853,3496
Uttarakhand,2005,3. Burglary,99,489
West Bengal,2005,3. Burglary,137,739
Andaman & Nicobar Islands,2006,3. Burglary,25,82
Andhra Pradesh,2006,3. Burglary,3450,8169
Arunachal Pradesh,2006,3. Burglary,87,257
Assam,2006,3. Burglary,557,2911
Bihar,2006,3. Burglary,362,3531
Chandigarh,2006,3. Burglary,98,189
Chhattisgarh,2006,3. Burglary,1070,3507
Dadra & Nagar Haveli,2006,3. Burglary,12,41
Daman & Diu,2006,3. Burglary,8,60
Delhi,2006,3. Burglary,893,1950
Goa,2006,3. Burglary,48,230
Gujarat,2006,3. Burglary,1405,5363
Haryana,2006,3. Burglary,1760,3996
Himachal Pradesh,2006,3. Burglary,136,732
Jammu & Kashmir,2006,3. Burglary,189,1351
Jharkhand,2006,3. Burglary,234,1428
Karnataka,2006,3. Burglary,1775,5967
Kerala,2006,3. Burglary,846,3948
Lakshadweep,2006,3. Burglary,1,2
Madhya Pradesh,2006,3. Burglary,3140,10729
Maharashtra,2006,3. Burglary,4012,14723
Manipur,2006,3. Burglary,0,55
Meghalaya,2006,3. Burglary,27,140
Mizoram,2006,3. Burglary,269,408
Nagaland,2006,3. Burglary,25,68
Odisha,2006,3. Burglary,1425,3118
Puducherry,2006,3. Burglary,46,84
Punjab,2006,3. Burglary,955,2277
Rajasthan,2006,3. Burglary,1678,4879
Sikkim,2006,3. Burglary,13,84
Tamil Nadu,2006,3. Burglary,2291,3300
Tripura,2006,3. Burglary,115,182
Uttar Pradesh,2006,3. Burglary,880,3545
Uttarakhand,2006,3. Burglary,114,410
West Bengal,2006,3. Burglary,138,601
Andaman & Nicobar Islands,2007,3. Burglary,21,90
Andhra Pradesh,2007,3. Burglary,3827,7609
Arunachal Pradesh,2007,3. Burglary,90,240
Assam,2007,3. Burglary,491,2603
Bihar,2007,3. Burglary,294,3259
Chandigarh,2007,3. Burglary,63,191
Chhattisgarh,2007,3. Burglary,1164,3632
Dadra & Nagar Haveli,2007,3. Burglary,6,28
Daman & Diu,2007,3. Burglary,4,46
Delhi,2007,3. Burglary,981,2055
Goa,2007,3. Burglary,49,271
Gujarat,2007,3. Burglary,1230,4747
Haryana,2007,3. Burglary,1762,4231
Himachal Pradesh,2007,3. Burglary,144,831
Jammu & Kashmir,2007,3. Burglary,295,1458
Jharkhand,2007,3. Burglary,194,1489
Karnataka,2007,3. Burglary,1985,5449
Kerala,2007,3. Burglary,1035,3824
Lakshadweep,2007,3. Burglary,0,2
Madhya Pradesh,2007,3. Burglary,3445,11230
Maharashtra,2007,3. Burglary,4120,14771
Manipur,2007,3. Burglary,1,70
Meghalaya,2007,3. Burglary,121,203
Mizoram,2007,3. Burglary,279,424
Nagaland,2007,3. Burglary,12,118
Odisha,2007,3. Burglary,1342,3073
Puducherry,2007,3. Burglary,36,86
Punjab,2007,3. Burglary,1032,2616
Rajasthan,2007,3. Burglary,1634,4951
Sikkim,2007,3. Burglary,17,83
Tamil Nadu,2007,3. Burglary,2613,3717
Tripura,2007,3. Burglary,38,193
Uttar Pradesh,2007,3. Burglary,996,3869
Uttarakhand,2007,3. Burglary,146,508
West Bengal,2007,3. Burglary,87,399
Andaman & Nicobar Islands,2008,3. Burglary,35,78
Andhra Pradesh,2008,3. Burglary,3832,8219
Arunachal Pradesh,2008,3. Burglary,92,245
Assam,2008,3. Burglary,666,3147
Bihar,2008,3. Burglary,288,3414
Chandigarh,2008,3. Burglary,98,257
Chhattisgarh,2008,3. Burglary,1227,4112
Dadra & Nagar Haveli,2008,3. Burglary,19,49
Daman & Diu,2008,3. Burglary,9,45
Delhi,2008,3. Burglary,485,1926
Goa,2008,3. Burglary,84,291
Gujarat,2008,3. Burglary,1430,4932
Haryana,2008,3. Burglary,1579,4249
Himachal Pradesh,2008,3. Burglary,151,872
Jammu & Kashmir,2008,3. Burglary,272,1332
Jharkhand,2008,3. Burglary,188,1375
Karnataka,2008,3. Burglary,1766,6258
Kerala,2008,3. Burglary,1037,3533
Lakshadweep,2008,3. Burglary,1,3
Madhya Pradesh,2008,3. Burglary,3600,11072
Maharashtra,2008,3. Burglary,4383,15170
Manipur,2008,3. Burglary,1,76
Meghalaya,2008,3. Burglary,58,166
Mizoram,2008,3. Burglary,242,337
Nagaland,2008,3. Burglary,15,120
Odisha,2008,3. Burglary,1232,3064
Puducherry,2008,3. Burglary,50,90
Punjab,2008,3. Burglary,1170,2621
Rajasthan,2008,3. Burglary,1591,4526
Sikkim,2008,3. Burglary,17,81
Tamil Nadu,2008,3. Burglary,2460,3849
Tripura,2008,3. Burglary,71,218
Uttar Pradesh,2008,3. Burglary,1182,4142
Uttarakhand,2008,3. Burglary,144,376
West Bengal,2008,3. Burglary,109,462
Andaman & Nicobar Islands,2009,3. Burglary,29,86
Andhra Pradesh,2009,3. Burglary,3416,7702
Arunachal Pradesh,2009,3. Burglary,89,201
Assam,2009,3. Burglary,445,3149
Bihar,2009,3. Burglary,329,3566
Chandigarh,2009,3. Burglary,48,241
Chhattisgarh,2009,3. Burglary,1278,3975
Dadra & Nagar Haveli,2009,3. Burglary,13,43
Daman & Diu,2009,3. Burglary,7,33
Delhi,2009,3. Burglary,521,1733
Goa,2009,3. Burglary,71,283
Gujarat,2009,3. Burglary,1269,4385
Haryana,2009,3. Burglary,1470,4077
Himachal Pradesh,2009,3. Burglary,136,779
Jammu & Kashmir,2009,3. Burglary,332,1550
Jharkhand,2009,3. Burglary,211,1392
Karnataka,2009,3. Burglary,1865,6629
Kerala,2009,3. Burglary,1186,3301
Lakshadweep,2009,3. Burglary,0,1
Madhya Pradesh,2009,3. Burglary,3123,10661
Maharashtra,2009,3. Burglary,4194,15145
